"cid","sid","userid","reply2Id","mid_num","idstr","ctext","csource","create_at"
"3790325556690021","3790322951411789","3933869701",NULL,"3790325556690021","3790325556690021","去高校别谈文化，个个都比你书读的多","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sun Dec 21 21:11:36 +0800 2014"
"3790325564684101","3790322951411789","2612804003",NULL,"3790325564684101","3790325564684101","我是小学四年级，[哈哈][哈哈][马到成功][马到成功]","<a href=""http://app.weibo.com/t/feed/3fcy9U"" rel=""nofollow"">vivo Xplay3S</a>","Sun Dec 21 21:11:38 +0800 2014"
"3790325782812285","3790322951411789","5395199868",NULL,"3790325782812285","3790325782812285","呵呵","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:12:30 +0800 2014"
"3790325913308135","3790322951411789","1111125267",NULL,"3790325913308135","3790325913308135","有钱就是任性","<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>","Sun Dec 21 21:13:01 +0800 2014"
"3790326055266916","3790322951411789","2608259145",NULL,"3790326055266916","3790326055266916","一群纹化人！","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sun Dec 21 21:13:35 +0800 2014"
"3790326063977802","3790322951411789","2128553132",NULL,"3790326063977802","3790326063977802","曹聚仁先生说了，绝大多数的学者讲文化都仅是为年轻人添置了新的障壁，因为他们自己也没弄明白国学文化的精神通路。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:13:37 +0800 2014"
"3790326932380327","3790325489731212","2090750051",NULL,"3790326932380327","3790326932380327","[发红包]","<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>","Sun Dec 21 21:17:04 +0800 2014"
"3790326940776467","3790322951411789","1909544712",NULL,"3790326940776467","3790326940776467","经济本来是既经又济，单单把敛财说成经济，且还要说是经济转型，岂不是一帮强奸犯在大谈性娱乐的好处与技巧吗。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:17:06 +0800 2014"
"3790326961074353","3790322951411789","1993173560",NULL,"3790326961074353","3790326961074353","带走了奶茶妹","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Sun Dec 21 21:17:11 +0800 2014"
"3790326982256111","3790322951411789","1443111381",NULL,"3790326982256111","3790326982256111","说得太对了","<a href=""http://app.weibo.com/t/feed/6i1N38"" rel=""nofollow"">nubia Z7 mini</a>","Sun Dec 21 21:17:16 +0800 2014"
"3790326990645514","3790322951411789","2422078845",NULL,"3790326990645514","3790326990645514","说得对啊！都是商人","<a href=""http://weibo.com/"" rel=""nofollow"">Android</a>","Sun Dec 21 21:17:18 +0800 2014"
"3790327603084025","3790322951411789","1401497853",NULL,"3790327603084025","3790327603084025","果汁张欣姐比奶茶妹有魅力，潘潘不输","<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>","Sun Dec 21 21:19:44 +0800 2014"
"3790327704220835","3790322951411789","5392708072",NULL,"3790327704220835","3790327704220835","中国好多有人 换了老婆，说和原配没有共同语言。妈的当初你妈不说现在说没有共同语言了。老了让你戴绿帽子，谁戴谁知道。","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Sun Dec 21 21:20:08 +0800 2014"
"3790327804225101","3790322951411789","1087168501",NULL,"3790327804225101","3790327804225101","附庸风雅而已","<a href=""http://app.weibo.com/t/feed/5Vn5w4"" rel=""nofollow"">红米Note</a>","Sun Dec 21 21:20:32 +0800 2014"
"3790328622509058","3790322649585771","5101473393",NULL,"3790328622509058","3790328622509058","可拉倒吧，就是人红是非多，哪儿那么多分析。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:23:47 +0800 2014"
"3790328958472121","3790322649585771","1652043275",NULL,"3790328958472121","3790328958472121","@留几手","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Sun Dec 21 21:25:07 +0800 2014"
"3790642435854384","3790642301919680","1406093903",NULL,"3790642435854384","3790642435854384","转发微博","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Mon Dec 22 18:10:46 +0800 2014"
"3790642927197076","3790642523825599","1672019747",NULL,"3790642927197076","3790642927197076","好美啊","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Mon Dec 22 18:12:43 +0800 2014"
"3790644118199293","3790642301919680","1889536747",NULL,"3790644118199293","3790644118199293","利润高的项目","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:17:27 +0800 2014"
"3790644336213160","3790642301919680","5345059441",NULL,"3790644336213160","3790644336213160","总结有点生猛","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:18:19 +0800 2014"
"3790644994235896","3790644688407267","1572535061",NULL,"3790644994235896","3790644994235896","肥 ????","<a href=""http://weibo.com/"" rel=""nofollow"">Android</a>","Mon Dec 22 18:20:56 +0800 2014"
"3790645263095779","3790644688407267","1914107477",NULL,"3790645263095779","3790645263095779","陈必亭没有问题啊？老贪污犯","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Mon Dec 22 18:22:00 +0800 2014"
"3790645308839299","3790644688407267","5333546138",NULL,"3790645308839299","3790645308839299","哎呀呀","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Mon Dec 22 18:22:10 +0800 2014"
"3790645372237313","3790644688407267","2161243971",NULL,"3790645372237313","3790645372237313","【无法无天的中国科学院】举报中国科学院副秘书长兼中国科学院大学党委书记邓勇、中科院大学原纪委书记现中科院青岛能源所党委书记隋红建、中科院大学原副校长侯泉林等包庇并任用#砍人保卫处长赵江波# 中国科学院砍人黑幕及其所涉房产黑幕http://t.cn/RPrvhYu","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Mon Dec 22 18:22:26 +0800 2014"
"3790645455652296","3790644688407267","1459919614",NULL,"3790645455652296","3790645455652296","今年流行逮总助，还好我已经退下来了","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Mon Dec 22 18:22:46 +0800 2014"
"3790645515254271","3790644688407267","2071707151",NULL,"3790645515254271","3790645515254271","刚上市说神华低估了，搞得我被套了。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:23:00 +0800 2014"
"3790645782962406","3790643052758665","1998969655",NULL,"3790645782962406","3790645782962406","这年头脸没法靠的都去拼实力了，悲伤的故事[泪][泪][泪]","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Mon Dec 22 18:24:04 +0800 2014"
"3790645791352210","3790642301919680","5398012005",NULL,"3790645791352210","3790645791352210","直接最初的大方向的决定。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:24:06 +0800 2014"
"3790646013669226","3790645770750393","1200289724",NULL,"3790646013669226","3790646013669226","好期待","<a href=""http://app.weibo.com/t/feed/5gA59F"" rel=""nofollow"">小米手机3</a>","Mon Dec 22 18:24:59 +0800 2014"
"3790646093246557","3790644688407267","3216401465",NULL,"3790646093246557","3790646093246557","噢","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Mon Dec 22 18:25:18 +0800 2014"
"3790646341381232","3790645770750393","1891273552",NULL,"3790646341381232","3790646341381232","哈哈，我也发了，不过我们是做旅游行业的，可能你们不会选择这种","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:26:17 +0800 2014"
"3790646345579651","3790642301919680","2780338572",NULL,"3790646345579651","3790646345579651","转发微博","<a href=""http://weibo.com/"" rel=""nofollow"">Android</a>","Mon Dec 22 18:26:18 +0800 2014"
"3790646361706612","3790645770750393","1283440131",NULL,"3790646361706612","3790646361706612","傅老师，请帮我寻找一个人好吗，你信手转载一下，就很有可能办了一件功德无量的大好事：魏涛，给家里报个平安好吗？http://t.cn/RzBmNek","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:26:22 +0800 2014"
"3790646416934401","3790644688407267","5321301784",NULL,"3790646416934401","3790646416934401","股票大跌呀","<a href=""http://app.weibo.com/t/feed/584Wm0"" rel=""nofollow"">三星GALAXY Note 4</a>","Mon Dec 22 18:26:35 +0800 2014"
"3790646420862678","3790645770750393","1998647851",NULL,"3790646420862678","3790646420862678","期待","<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>","Mon Dec 22 18:26:36 +0800 2014"
"3790646525801558","3790644688407267","1410788162",NULL,"3790646525801558","3790646525801558","巡视组真是高效啊。还没结束就开始抓人了。目前仅仅是宁夏那一波","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Mon Dec 22 18:27:00 +0800 2014"
"3790646584570621","3790644688407267","2984756115",NULL,"3790646584570621","3790646584570621","转发微博","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:27:14 +0800 2014"
"3790646672722996","3790645770750393","1651767720",NULL,"3790646672722996","3790646672722996","看来没选上啊","<a href=""http://app.weibo.com/t/feed/1J95c3"" rel=""nofollow"">红米手机</a>","Mon Dec 22 18:27:36 +0800 2014"
"3790646970490892","3790642301919680","1662343683",NULL,"3790646970490892","3790646970490892","[哈哈]","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>","Mon Dec 22 18:28:46 +0800 2014"
"3790647163580135","3790642301919680","2321634035",NULL,"3790647163580135","3790647163580135","我记得入职培训产品创意讨论环节同组一个总监淡淡的提过一句，互联网很多项目上马是先看不到利润的，有的开始老总也不care啥利润。让想问句盈利点的我手足无措，记忆深刻。后来想想也是，好多一开始哪有利润可言？别提一个“先”字了。按这个文章估计连昨天看那篇中的“马”也难及，来不及万一风停了呢","<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>","Mon Dec 22 18:29:33 +0800 2014"
"3790647435936207","3790644688407267","2823798374",NULL,"3790647435936207","3790647435936207","@STAY辰辰 你看看这神华。。真吓人。。","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:30:38 +0800 2014"
"3790647574205671","3790647267884545","2178334303",NULL,"3790647574205671","3790647574205671","哈哈好心塞","<a href=""http://weibo.com/"" rel=""nofollow"">窝宝儿哒iPhone 6 Plus</a>","Mon Dec 22 18:31:11 +0800 2014"
"3790647695356847","3790647267884545","1657818410",NULL,"3790647695356847","3790647695356847","noka[打脸]","<a href=""http://weibo.com/"" rel=""nofollow"">三星Galaxy Note3</a>","Mon Dec 22 18:31:40 +0800 2014"
"3790647788513522","3790645770750393","2405464885",NULL,"3790647788513522","3790647788513522","赶紧的，火车票快没了，不然选上了也没法赶到北京","<a href=""http://app.weibo.com/t/feed/2y7Irr"" rel=""nofollow"">UC浏览器Android版</a>","Mon Dec 22 18:32:02 +0800 2014"
"3790647788513710","3790646902946793","3310695111",NULL,"3790647788513710","3790647788513710","当当，要挺住啊","<a href=""http://app.weibo.com/t/feed/3auC5p"" rel=""nofollow"">皮皮时光机</a>","Mon Dec 22 18:31:59 +0800 2014"
"3790647792709194","3790647267884545","2461893624",NULL,"3790647792709194","3790647792709194","太不要脸了，跟小米一个德性",NULL,"Mon Dec 22 18:32:02 +0800 2014"
"3790647809002786","3790647267884545","1692708762",NULL,"3790647809002786","3790647809002786","你又不在俄罗斯买~","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>","Mon Dec 22 18:32:07 +0800 2014"
"3790647829976005","3790647267884545","3140415077",NULL,"3790647829976005","3790647829976005","真不要脸，，苹果","<a href=""http://app.weibo.com/t/feed/1J95c3"" rel=""nofollow"">红米手机</a>","Mon Dec 22 18:32:11 +0800 2014"
"3790647959623326","3790642301919680","3551989311",NULL,"3790647959623326","3790647959623326","最后一句才是重点，行动的人，才能挣钱！！","<a href=""http://app.weibo.com/t/feed/1Ua4Xz"" rel=""nofollow"">Fuubo</a>","Mon Dec 22 18:32:41 +0800 2014"
"3790648132440655","3790646902946793","1659674492",NULL,"3790648132440655","3790648132440655","当当是赚钱的，这点是肯定的","<a href=""http://app.weibo.com/t/feed/3auC5p"" rel=""nofollow"">皮皮时光机</a>","Mon Dec 22 18:33:25 +0800 2014"
"3790648135801619","3790647141657488","1717382964",NULL,"3790648135801619","3790648135801619","谣言止于智者！严打造谣传播之人！我们方正人 手拉手共度难关！！","<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>","Mon Dec 22 18:33:25 +0800 2014"
"3790648333657858","3790646902946793","3756024161",NULL,"3790648333657858","3790648333657858","客观的说，当当的转型还是果断的！","<a href=""http://app.weibo.com/t/feed/3auC5p"" rel=""nofollow"">皮皮时光机</a>","Mon Dec 22 18:34:11 +0800 2014"
"3790648492694714","3790646902946793","2112908404",NULL,"3790648492694714","3790648492694714","当当的挑战在于人才，管理层的稳定性","<a href=""http://app.weibo.com/t/feed/3auC5p"" rel=""nofollow"">皮皮时光机</a>","Mon Dec 22 18:34:48 +0800 2014"
"3790649029270372","3790642301919680","1734151610",NULL,"3790649029270372","3790649029270372","6.懒人省事类 7.胖子减肥类","<a href=""http://weibo.com/"" rel=""nofollow"">Android</a>","Mon Dec 22 18:36:58 +0800 2014"
"3790650862504899","3790647141657488","3484869452",NULL,"3790650862504899","3790650862504899","真理永远在正义一方的，方正加油！","<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>","Mon Dec 22 18:44:15 +0800 2014"
"3790651164473895","3790647141657488","2037990545",NULL,"3790651164473895","3790651164473895","方方正正做人，实实在在做事！不容家园受侵犯！呼吁各界关注#方正集团#！","<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>","Mon Dec 22 18:45:27 +0800 2014"
"3790651428920624","3790647141657488","2748023021",NULL,"3790651428920624","3790651428920624","妈的，是党给你公正还是该法律给你公正？至今还犯糊涂","<a href=""http://weibo.com/"" rel=""nofollow"">荣耀6</a>","Mon Dec 22 18:46:30 +0800 2014"
"3790651869503975","3790647141657488","2191524914",NULL,"3790651869503975","3790651869503975","相信方正[心][心]","<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>","Mon Dec 22 18:48:15 +0800 2014"
"3790651936664776","3790647141657488","2541397667",NULL,"3790651936664776","3790651936664776","相信每一个4万分之一，每一个4万分之一也相信你！","<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>","Mon Dec 22 18:48:31 +0800 2014"
"3790652024445083","3790647141657488","2779967453",NULL,"3790652024445083","3790652024445083","拥有千亿资产，炫富吗？","<a href=""http://weibo.com/"" rel=""nofollow"">魅族</a>","Mon Dec 22 18:48:52 +0800 2014"
"3790652154567929","3790647141657488","1001556027",NULL,"3790652154567929","3790652154567929","疯狗乱咬人，应该把盘古的事情彻查[哈哈][哈哈]","<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>","Mon Dec 22 18:49:23 +0800 2014"
"3790652501964033","3790647141657488","5363109132",NULL,"3790652501964033","3790652501964033","转发微博","<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>","Mon Dec 22 18:50:45 +0800 2014"
"3790653014112170","3790647141657488","3212285567",NULL,"3790653014112170","3790653014112170","方正之士，不容污蔑；方正家园，不容侵犯!","<a href=""http://app.weibo.com/t/feed/173r1J"" rel=""nofollow"">三星Galaxy NOTE III</a>","Mon Dec 22 18:52:48 +0800 2014"
"3790653030496009","3790647141657488","2242809411",NULL,"3790653030496009","3790653030496009","相信方正，加油方正","<a href=""http://app.weibo.com/t/feed/4ACxed"" rel=""nofollow"">iPad客户端</a>","Mon Dec 22 18:52:51 +0800 2014"
