"userid","idstr","screen_name","name","province","city","location","description","url","profile_url","user_domain","weihao","gender","followers_count","bi_followers_count","friends_count","statuses_count","favourites_count","ucreate_at","allow_all_act_msg","geo_enabled","verified","allow_all_comment","verified_reason"
"1083330475","1083330475","大米是我","大米是我","42","1","湖北 武汉",NULL,,"u/1083330475",NULL,NULL,"m","144","4","61","944","4","Tue Oct 20 13:35:27 +0800 2009","0","1","0","1",
"1085455075","1085455075","Hello-我是吕先森","Hello-我是吕先森","12","3","天津 河西区","我就是我。。。","http://blog.sina.com.cn/kevinlong","u/1085455075",NULL,NULL,"m","291","121","284","604","318","Sat Jul 10 04:17:12 +0800 2010","0","1","0","1",
"1087168501","1087168501","家在鸟市","家在鸟市","63","1000","青海",NULL,,"u/1087168501",NULL,NULL,"m","268","3","177","3951","203","Thu Dec 17 21:11:54 +0800 2009","0","0","0","0",
"1088468774","1088468774","兔斯基-tsj","兔斯基-tsj","11","8","北京 海淀区","随性而已......",,"u/1088468774",NULL,NULL,"f","967","312","588","5450","291","Thu Sep 09 10:06:25 +0800 2010","0","1","0","0",
"1092800243","1092800243","13点59分","13点59分","33","1","浙江 杭州","人生每一个阶段都赋予着它的使命","http://blog.sina.com.cn/pigcoffee","u/1092800243",NULL,NULL,"f","676","169","456","3038","13","Mon Jun 21 23:46:04 +0800 2010","0","1","0","1",
"1095775432","1095775432","肖恩哥","肖恩哥","31","13","上海 宝山区","????行业工作者","http://blog.sina.com.cn/goung1002","shawn0816","shawn0816",NULL,"m","647","77","697","6185","177","Sun Dec 27 18:14:43 +0800 2009","0","1","0","1",
"1104295220","1104295220","宗心00","宗心00","11","8","北京 海淀区","待人以善者，善亦所趋。",,"u/1104295220",NULL,NULL,"m","146","21","196","460","28","Fri Jan 18 21:56:14 +0800 2013","0","1","0","1",
"1104808767","1104808767","暴龙旭的背影控","暴龙旭的背影控","100","1000","其他",NULL,,"u/1104808767",NULL,NULL,"f","50","11","23","47","1","Sat May 12 12:57:19 +0800 2012","0","0","0","0",
"1106784857","1106784857","尘兮2016","尘兮2016","51","3","四川 自贡","走马观花合适了，往事知多少。邺下遗风今犹在，只是朱红颜色老",,"u/1106784857",NULL,NULL,"m","146","116","145","642","3","Sat Mar 01 22:58:00 +0800 2014","0","1","0","1",
"1107476357","1107476357","吃东西336","吃东西336","51","1000","四川",NULL,,"u/1107476357",NULL,NULL,"m","144","31","1154","973","2","Sat Mar 02 18:06:01 +0800 2013","0","1","0","1",
"1108066570","1108066570","LIANG兆东","LIANG兆东","44","6","广东 佛山","静思～奋进！",,"u/1108066570",NULL,NULL,"m","126","22","86","1425","33","Thu Apr 07 16:49:02 +0800 2011","0","1","0","1",
"1111125267","1111125267","重庆风入松","重庆风入松","50","1000","重庆","一介书生，两袖正气；三教略懂，四书稍会；五官齐整，六路欠顺；乐善好施，遇恶不畏；物质清贫，精神富贵。",,"u/1111125267",NULL,NULL,"m","86","2","222","557","157","Fri Apr 20 20:44:06 +0800 2012","0","1","0","1",
"1111681197","1111681197","来去之间","来去之间","11","8","北京 海淀区","三不代表：本帐号发言，一不代表大号，二不代表部门，三不代表公司~~如有误导，概不负责",,"wflanker","wflanker",NULL,"m","46425","825","2097","35279","3922","Fri Aug 28 16:34:05 +0800 2009","0","1","1","1","移动互联网分析师"
"1111995503","1111995503","陈昕_18942","陈昕_18942","11","8","北京 海淀区",NULL,,"u/1111995503",NULL,NULL,"m","42","0","120","1125","4","Fri Apr 12 18:38:09 +0800 2013","0","0","0","1",
"1118056281","1118056281","小妮妮在干嘛","小妮妮在干嘛","11","6","北京 丰台区","优艺德艺术幼儿园小一班小朋友","http://blog.sina.com.cn/sina","u/1118056281",NULL,NULL,"f","0","0","69","12","0","Sat Mar 08 06:59:56 +0800 2014","0","1","0","1",
"1134359153","1134359153","fangprc","fangprc","44","4","广东 珠海","1，返图刷屏见谅 2，玩WOW睇动画 3，间中研究电脑硬件 4，同声同气自己人 5，转的微博都是自己看。",,"fangprc","fangprc",NULL,"m","137","79","382","2395","88","Sun Jul 03 20:26:47 +0800 2011","0","1","0","1",
"1135730184","1135730184","乔豆麻袋NeFerry","乔豆麻袋NeFerry","32","5","江苏 苏州","geek，咖啡，美剧，夏洛克，Barista","http://blog.sina.com.cn/neferry","210100797","bravezhuyun","210100797","m","912","265","716","7944","473","Sat Dec 11 13:42:07 +0800 2010","0","1","0","0",
"1138720834","1138720834","思索更正","思索更正","31","10","上海 杨浦区","越安静就越安静",,"u/1138720834",NULL,NULL,"m","500","44","101","2467","2","Tue Apr 06 13:49:52 +0800 2010","0","0","0","1",
"1148552611","1148552611","用户j4hlniuh68","用户j4hlniuh68","100","1000","其他",NULL,,"u/1148552611",NULL,NULL,"m","0","0","1","1","0","Fri Mar 14 17:33:14 +0800 2014","0","1","0","1",
"1150064073","1150064073","SputnikZG","SputnikZG","11","8","北京 海淀区","永远站鸡蛋一边的小石子儿。",,"u/1150064073",NULL,NULL,"m","83","11","292","2383","2","Wed Jan 05 00:23:25 +0800 2011","1","0","0","0",
"1158459144","1158459144","黎明之门前的风笛手","黎明之门前的风笛手","32","10","江苏 扬州","happiness is a warm gun",,"u/1158459144",NULL,NULL,"m","284","96","358","3919","17","Sat Dec 11 13:16:45 +0800 2010","0","1","0","1",
"1170437072","1170437072","良小牙85","良小牙85","81","2","香港 中西区","淫贱贪玩，无节操","http://www.weibo.com/1170437072/","u/1170437072",NULL,NULL,"m","180","114","475","3071","22","Tue Oct 04 16:24:05 +0800 2011","0","1","0","1",
"1182389073","1182389073","任志强","任志强","11","1000","北京","退休老汉","http://blog.sina.com.cn/renzhiqiang","renzhiqiang","renzhiqiang",NULL,"m","28106526","165","174","77433","47","Fri Aug 28 16:36:03 +0800 2009","0","1","1","1","知名地产商"
"1182391231","1182391231","潘石屹","潘石屹","11","1000","北京","永葆一颗纯洁、仁慈和意气风发的心。","http://blog.sina.com.cn/panshiyi","panshiyi","panshiyi",NULL,"m","17055000","92","97","21100","20","Fri Aug 28 16:34:07 +0800 2009","0","0","1","0","SOHO中国董事长潘石屹"
"1189958475","1189958475","沉默的大众","沉默的大众","11","8","北京 海淀区","屁民一枚","http://blog.sina.com.cn/letterlinko","qimingzihenmafan","qimingzihenmafan",NULL,"m","54","9","195","386","14","Wed Oct 14 15:52:50 +0800 2009","0","1","0","1",
"1191552324","1191552324","没籽的葡萄好吃","没籽的葡萄好吃","61","1","陕西 西安",NULL,,"wsjxaut","wsjxaut",NULL,"m","746","343","1744","42327","4360","Fri Oct 30 16:43:40 +0800 2009","0","1","0","0",
"1192721315","1192721315","桉爹","桉爹","44","1","广东 广州","人生就像一杯茶，不会苦一辈子，但总会苦一阵子。",,"u/1192721315",NULL,NULL,"m","99","19","327","719","27","Fri Jan 22 00:01:41 +0800 2010","0","1","0","1",
"1193107083","1193107083","踢足球的肖邦","踢足球的肖邦","32","5","江苏 苏州","无私者无畏。。。",,"aaronjzh","aaronjzh",NULL,"m","426","41","115","734","37","Fri Feb 04 20:51:34 +0800 2011","1","0","1","1","方正国际软件有限公司 BPM事业部 交通业务部 总监"
"1193447834","1193447834","ycw_222","ycw_222","43","1000","湖南",NULL,,"u/1193447834",NULL,NULL,"m","211","68","833","12497","34","Sat Apr 28 14:18:50 +0800 2012","0","1","0","1",
"1193725273","1193725273","中国企业家杂志","中国企业家杂志","11","1000","北京","一本立于商业领袖的领袖商业杂志。我们的历史：创刊于1985年，中国主流商业财经杂志公认的领导者。 我们的未来：中国企业全球化进程的见证者。我们…","http://www.iceo.com.cn/","cne","cne",NULL,"m","3819731","441","690","39943","210","Fri Aug 28 16:34:08 +0800 2009","1","1","1","1","《中国企业家》杂志官方微博"
"1193759402","1193759402","木娄小楼","木娄小楼","31","3","上海 卢湾区","All those moments will be lost in time, like tears in rain.",,"sapphirelou","sapphirelou",NULL,"f","1289","1","93","104","4","Fri Nov 19 14:05:16 +0800 2010","0","0","0","1",
"1200289724","1200289724","瑟尼钐","瑟尼钐","13","5","河北 邢台",NULL,,"u/1200289724",NULL,NULL,"m","94","3","95","234","179","Wed Feb 24 00:35:30 +0800 2010","0","1","0","1",
"1203003525","1203003525","老蘇老了","老蘇老了","11","2","北京 西城区","开发点你觉得现在对你有用的东西，而不是你认为可能对别人有用的东西。Scratch your own itch",,"sumiao","sumiao",NULL,"m","1189","324","874","40106","246","Tue Sep 01 17:10:39 +0800 2009","0","1","0","0",
"1205068634","1205068634","让自由做主","让自由做主","12","1000","天津","对就是错",,"qlshmj","qlshmj",NULL,"m","374","57","467","3629","19","Fri Dec 11 22:44:14 +0800 2009","0","1","0","0",
"1213819477","1213819477","晖晖77","晖晖77","11","8","北京 海淀区",NULL,,"u/1213819477",NULL,NULL,"f","328","147","217","221","0","Thu Dec 23 09:08:38 +0800 2010","0","1","0","1",
"1221334250","1221334250","那棵老枇杷","那棵老枇杷","42","3","湖北 十堰","时常怀念家乡老宅后院的那棵老枇杷……","http://blog.sina.com.cn/love928815","zhangzhdan","zhangzhdan",NULL,"m","1335","10","135","28478","29","Wed Oct 14 11:13:35 +0800 2009","0","0","0","1",
"1221467181","1221467181","Paul_龙坡","Paul_龙坡","43","1","湖南 长沙","国家的首要职责，不是发展经济，不是强大军事，而是维护社会的公平和正义，保障弱势群体不被淘汰！此为国之根本！",,"longpo1988","longpo1988",NULL,"m","441","81","274","2576","7","Sat Mar 26 21:38:19 +0800 2011","0","1","0","1",
"1222896500","1222896500","11月的萧邦","11月的萧邦","44","1","广东 广州","事在人为。","http://blog.sina.com.cn/williamzeng","williamzeng","williamzeng",NULL,"m","436","148","590","2027","138","Wed Dec 30 01:11:39 +0800 2009","0","1","0","1",
"1225229345","1225229345","郑雨萌","郑雨萌","12","6","天津 红桥区","没有低到尘埃里的种子，开不出花来。","http://blog.sina.com.cn/zhengyumengboke","109634165","zym19880825","109634165","f","401","124","267","1494","3","Mon Aug 16 17:33:50 +0800 2010","0","1","0","1",
"1225737377","1225737377","Hombre","Hombre","44","19","广东 东莞","专业PCB&PCBA电子销售","http://blog.sina.com.cn/hjppcb","hombre","hombre",NULL,"m","92","13","166","130","2","Sat Feb 06 21:35:44 +0800 2010","0","1","0","1",
"1228641064","1228641064","__蛋炒饭和西红柿炒鸡蛋","__蛋炒饭和西红柿炒鸡蛋","11","1","北京 东城区","无论时光如何消逝，我始终坚信一如往昔。",,"u/1228641064",NULL,NULL,"m","97","18","49","1383","27","Sat Dec 11 14:30:02 +0800 2010","0","1","0","1",
"1229681500","1229681500","白巧克力_skywalker","白巧克力_skywalker","11","8","北京 海淀区","一个傻乎乎的中国人，保持着中国大部分农民的主要特征“真诚、老实”。",,"u/1229681500",NULL,NULL,"m","192","45","216","2014","233","Mon Apr 18 20:27:25 +0800 2011","0","0","0","1",
"1229753764","1229753764","山财董彦岭","山财董彦岭","37","1","山东 济南","山东财经大学区域经济研究院院长、教授。研究领域为金融学、区域经济。研究院从事区域经济金融领域的科学研究、机构培训和规划编制工作。","http://blog.sina.com.cn/dyl68","u/1229753764",NULL,NULL,"m","1831","962","1139","25858","9","Sun Oct 11 20:12:13 +0800 2009","0","1","0","1",
"1232433900","1232433900","MrSun1111","MrSun1111","37","8","山东 济宁",NULL,,"u/1232433900",NULL,NULL,"m","37","8","208","85","2","Mon Jan 24 19:14:24 +0800 2011","0","1","0","1",
"1232963545","1232963545","snow李","snow李","32","10","江苏 扬州","江湖人称李小兔！喊兔兔 兔姐 亦可","http://blog.sina.com.cn/panda19870955","u/1232963545",NULL,NULL,"f","1302","101","217","6035","24","Mon Mar 29 11:24:27 +0800 2010","1","0","0","1",
"1237830882","1237830882","戴峻儿","戴峻儿","11","5","北京 朝阳区","咀嚼",,"djh1213","djh1213",NULL,"m","3943","135","172","62","1069","Wed Dec 28 22:40:54 +0800 2011","1","1","0","1",
"1240066464","1240066464","为赫本小姐开车","为赫本小姐开车","61","4","陕西 咸阳"," ",,"u/1240066464",NULL,NULL,"m","68","19","376","206","34","Fri Jul 08 00:10:02 +0800 2011","0","1","0","1",
"1241821854","1241821854","小汪汪_财务数据挖掘与分析","小汪汪_财务数据挖掘与分析","32","1000","江苏","你想知道哪些公司连续5年净资产回报率保存在15%以上吗？当然，你看年报可能看的眼都花了，手都酸了，轻松点，留言给我","http://blog.sina.com.cn/u/1241821854","u/1241821854",NULL,NULL,"m","4179","33","202","813","6","Thu Jan 06 20:56:05 +0800 2011","0","1","0","1",
"1243151257","1243151257","语莫动静体自然","语莫动静体自然","36","1","江西 南昌","为了QQ,丢了微博，只好重新申请",,"u/1243151257",NULL,NULL,"m","59","15","114","101","3","Sat Mar 30 06:55:28 +0800 2013","0","1","0","1",
"1249948115","1249948115","包子Ageha","包子Ageha","11","5","北京 朝阳区",NULL,"http://blog.sina.com.cn/guyu0913","guyu0913","guyu0913",NULL,"f","48","38","89","40","158","Sun Jan 30 21:40:29 +0800 2011","0","0","0","0",
"1250898732","1250898732","孔维道","孔维道","42","1","湖北 武汉","孔子第七十八代非嫡系后裔 淘宝小店地址http://quanhong.taobao.com/","http://blog.sina.com.cn/kongcb","319461666","kongcb","319461666","m","1214","124","318","17625","23","Thu Mar 04 16:14:43 +0800 2010","0","1","0","0",
"1251461184","1251461184","败打脸","败打脸","21","2","辽宁 大连","对于跪习惯的人来说,那些争取站着权利的人都是反人类的异教徒.","http://blog.sina.com.cn/ali213","u/1251461184",NULL,NULL,"m","68","22","226","948","1","Sun Mar 20 22:29:30 +0800 2011","0","0","0","1",
"1253846303","1253846303","午后狂睡_Silent","午后狂睡_Silent","31","1000","上海","Now I see the funny side，now I’m always smiling。天性凉薄，脾气不好，性格暴虐的养猫人士。","http://blog.sina.com.cn/leavingpriest","leavingpriest","leavingpriest",NULL,"m","34982","188","204","30569","9","Mon Oct 19 23:20:11 +0800 2009","1","1","0","1",
"1256538510","1256538510","木棉先生爱生活","木棉先生爱生活","37","2","山东 青岛","当你不能够再拥有的时候，你唯一可以做的，就是令自己不要忘记。",,"u/1256538510",NULL,NULL,"m","758","76","293","1825","1","Sat Feb 13 19:50:05 +0800 2010","0","1","0","1",
"1256737630","1256737630","戈力道","戈力道","44","1000","广东","丛容啊，从容。戈力道，给一刀。","http://blog.sina.com.cn","lidaoweibo","lidaoweibo",NULL,"m","423","29","230","9381","575","Sat Apr 03 08:12:51 +0800 2010","1","0","0","1",
"1257976253","1257976253","於是我試著假裝","於是我試著假裝","31","12","上海 闵行区","夫本布衣，躬耕於魔都，苟全性命於天朝，不求聞達於官豪。","http://weibo.com/viewtifuldai","viewtifuldai","viewtifuldai",NULL,"m","814","230","460","7377","91","Sat Feb 27 02:52:45 +0800 2010","0","0","0","1",
"1259403380","1259403380","宇宙1530","宇宙1530","37","3","山东 淄博","渴时一滴如甘露，醉后添杯不如无。",,"u/1259403380",NULL,NULL,"m","175","46","277","3156","31","Wed Aug 31 20:41:19 +0800 2011","0","1","0","1",
"1261869374","1261869374","徐永生Kevin","徐永生Kevin","46","2","海南 三亚","苟有恒，何必三更睡五更起；最无益，莫过一日暴十日寒",,"u/1261869374",NULL,NULL,"m","782","350","812","10756","574","Thu Apr 19 17:59:49 +0800 2012","0","1","1","1","  海南唐王地产投资有限公司行政部长"
"1267331261","1267331261","邱铭钧","邱铭钧","11","5","北京 朝阳区","京师律师：命运天注定；命运可以改变，能改变的命运也是命中注定；改变心态，命运即改变。","http://blog.sina.com.cn/woai5117","u/1267331261",NULL,NULL,"m","1699","594","1736","12168","2","Thu Dec 17 10:50:06 +0800 2009","0","1","0","1",
"1271753217","1271753217","王月王月","王月王月","11","8","北京 海淀区",NULL,,"u/1271753217",NULL,NULL,"f","625","109","395","6599","37","Fri Jun 25 13:36:05 +0800 2010","0","1","0","1",
"1280977241","1280977241","DK_夏天来了","DK_夏天来了","31","5","上海 长宁区","Sylvian_DK....最近一切正常！","http://blog.sina.com.cn/soochow","57430598","soochow","57430598","m","615","73","101","3626","34","Wed May 19 19:00:59 +0800 2010","1","0","0","1",
"1281154960","1281154960","醉梦絮语","醉梦絮语","43","1","湖南 长沙","喜欢游山玩水，看书、音乐、诗词歌赋。关心时政经济。中国微诗协会会员。","http://blog.sina.com.cn/yangzh8403","u/1281154960",NULL,NULL,"m","1135","469","1761","5137","654","Sat Nov 21 22:05:22 +0800 2009","0","0","0","1",
"1281762594","1281762594","毛翰","毛翰","35","5","福建 泉州","华侨大学文学院教授","http://blog.sina.com.cn/maohan8848","u/1281762594",NULL,NULL,"m","17961","544","1001","2042","32","Wed Feb 03 08:18:01 +0800 2010","0","1","1","1","华侨大学文学院教授"
"1281776560","1281776560","童言真的无所忌","童言真的无所忌","41","1","河南 郑州",NULL,,"u/1281776560",NULL,NULL,"m","324","130","537","10545","1","Wed Apr 06 21:50:05 +0800 2011","0","1","0","1",
"1282419364","1282419364","我是小腻虫","我是小腻虫","11","8","北京 海淀区","生命不息折腾不止！小云控！高压线控！杯子控！。。。。。。各种控！","http://blog.sina.com.cn/carolspace","u/1282419364",NULL,NULL,"f","794","171","361","6480","5","Tue Mar 23 21:52:48 +0800 2010","0","1","0","1",
"1282863770","1282863770","雷国东","雷国东","11","8","北京 海淀区","曾任国家政府上网工程服务中心总工程师，中国信用信息认证管理中心办公室主任兼投诉中心主任！现自主创业。喜欢互联网、旅行、摄影、美食......","http://leiboy.com","cityzone","cityzone",NULL,"m","102005","70","128","3852","0","Thu Jan 21 23:21:35 +0800 2010","0","1","1","1","小红伞（北京）科技有限公司总经理、北京都市网 总经理"
"1283440131","1283440131","好人孙玉良","好人孙玉良","13","9","河北 沧州","中国贸促会建设分会物业服务委员会主任，中国物业管理师网主编，中国作家协会河北分会会员。","http://blog.sina.com.cn/dabudao808","dabudao808","dabudao808",NULL,"m","2333","295","1955","1147","1","Fri Aug 28 16:14:21 +0800 2009","0","1","1","1","北省任丘市辛中驿镇边渡口村副书记、农民作家，著有《游义梦水——孙玉良乱弹四大名著》"
"1287110083","1287110083","沙金龙Aaron","沙金龙Aaron","11","8","北京 海淀区","初见咖啡馆 馆长",,"shajinlong","shajinlong",NULL,"m","313","170","1235","262","2647","Tue Sep 28 12:59:38 +0800 2010","0","1","1","1","初见咖啡馆馆长沙金龙"
"1290323214","1290323214","吴学梦","吴学梦","22","3","吉林 四平",NULL,,"u/1290323214",NULL,NULL,"m","189","6","152","834","17","Tue Mar 27 14:51:56 +0800 2012","0","1","0","1",
"1295850680","1295850680","菀美生活","菀美生活","15","2","内蒙古 包头",NULL,,"u/1295850680",NULL,NULL,"f","91","34","505","473","4","Tue Mar 06 09:33:40 +0800 2012","0","1","0","1",
"1298473447","1298473447","orthodoxist","orthodoxist","11","1","北京 东城区","投胎有风险，入世需谨慎。既然来了，何不留下故事再走......","http://blog.sina.com.cn/orthodoxist","orthodoxist","orthodoxist",NULL,"m","1794","9","709","5302","421","Wed Oct 28 23:22:07 +0800 2009","1","0","0","0",
"1300445832","1300445832","小呀么0o小豆芽","小呀么0o小豆芽","52","22","贵州 铜仁","谁的等待，恰逢花开。。。",,"u/1300445832",NULL,NULL,"f","152","15","83","128","0","Fri Aug 02 16:14:24 +0800 2013","0","1","0","1",
"1301249871","1301249871","一秒钟变金鱼cy","一秒钟变金鱼cy","32","1","江苏 南京","不喜欢说话，容易暴露智商","http://blog.sina.com.cn/feeling0424","u/1301249871",NULL,NULL,"f","113","41","144","225","69","Wed Jul 28 22:09:07 +0800 2010","1","1","0","1",
"1302434282","1302434282","热带雨琳","热带雨琳","11","1000","北京","微博招聘高级产品经理/产品经理欢迎推荐和自荐",,"100054321","linlin1","100054321","f","3718","471","907","3679","168","Fri Aug 28 16:34:19 +0800 2009","0","1","1","1","新浪微博 王琳琳"
"1303266537","1303266537","双宇森林","双宇森林","11","5","北京 朝阳区","叶子的离开，是风的追求，还是树的不挽留！","http://blog.sina.com.cn/hcty007","10082046",NULL,"10082046","m","9529","455","1767","17550","5561","Wed Sep 02 13:20:07 +0800 2009","0","1","0","1",
"1304436355","1304436355","全向北","全向北","11","8","北京 海淀区","节奏之王","http://blog.sina.com.cn/nxdly","u/1304436355",NULL,NULL,"m","179","1","736","263","20","Tue Jul 13 17:58:51 +0800 2010","0","1","0","1",
"1308108257","1308108257","童筱轩就叫童筱轩","童筱轩就叫童筱轩","42","10","湖北 荆州","哈……没啥好说的……",,"u/1308108257",NULL,NULL,"m","201","152","398","798","0","Fri Jul 27 14:25:57 +0800 2012","0","1","0","1",
"1308362861","1308362861","守凯","守凯","11","5","北京 朝阳区",NULL,"http://blog.sina.com.cn/uchunter","hihunter","hihunter",NULL,"m","279","113","193","1336","53","Wed Sep 23 13:09:20 +0800 2009","0","0","0","1",
"1318266875","1318266875","Nastygram","Nastygram","400","22","海外 荷兰","孩儿爹，喜小孩、汪、喵。",,"hanleibeijing","hanleibeijing",NULL,"m","646","133","1924","19348","26263","Tue Feb 15 17:09:19 +0800 2011","0","0","0","1",
"1322916613","1322916613","藏獒的天空","藏獒的天空","100","1000","其他","呵呵,我喜欢藏獒......",,"u/1322916613",NULL,NULL,"m","394","6","149","458","113","Mon Dec 28 10:07:04 +0800 2009","0","0","0","0",
"1323784251","1323784251","彭晓风","彭晓风","52","1","贵州 贵阳","足球 独立音乐 自驾游",,"u/1323784251",NULL,NULL,"m","960","875","1014","7818","58","Mon Mar 14 00:45:35 +0800 2011","0","1","0","1",
"1325156677","1325156677","雪妖DawnSnow","雪妖DawnSnow","12","4","天津 南开区","【无为之初】水瓶座怪姐姐~~","http://blog.sina.com.cn/loveysnowfairy","lewoer","lewoer",NULL,"f","833","98","207","34467","403","Thu Oct 07 21:09:37 +0800 2010","0","0","0","0",
"1336921155","1336921155","油菜大帝","油菜大帝","11","8","北京 海淀区","有才 有爱 可信赖",,"ggglong","ggglong",NULL,"m","252","72","235","605","406","Fri Oct 02 18:48:39 +0800 2009","0","0","0","0",
"1343056561","1343056561","清水穿石","清水穿石","100","1000","其他","烟酒",,"u/1343056561",NULL,NULL,"m","325","3","66","44140","384","Sat Oct 17 23:06:18 +0800 2009","0","1","0","1",
"1345550332","1345550332","十万砖家总教头","十万砖家总教头","45","1","广西 南宁","砖家们的教头，叫兽们的师爷，总桶们的统帅","http://blog.sina.com.cn/338866k","u/1345550332",NULL,NULL,"m","496","24","108","8607","0","Tue Oct 20 21:45:09 +0800 2009","0","1","0","1",
"1355322963","1355322963","IESTAR2004","IESTAR2004","11","1000","北京","弱水三千，只取一瓢饮","http://blog.sina.com.cn/iestar20042008","iestar2004","iestar2004",NULL,"m","311","77","125","1697","60","Wed Jan 13 11:10:01 +0800 2010","0","0","0","1",
"1366281372","1366281372","蘇-好好","蘇-好好","43","1","湖南 长沙","傲娇女王。",,"syj0722","syj0722",NULL,"f","1259","23","98","131","61","Tue Jun 15 15:28:58 +0800 2010","0","0","0","0",
"1371432565","1371432565","HIPSFAN","HIPSFAN","44","1","广东 广州","无话可说",,"hipsfan","hipsfan",NULL,"m","185","48","257","4258","8","Sun Oct 31 14:16:14 +0800 2010","0","0","0","1",
