,cid,sid,screen_name,reply2Id,ctext,csource,create_at,UC
35,3827214715866813,3827160647398914,Danma2010,3827162778064353.0,回复@朱泽琰:嗯，成功傍上阿里系大树！,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 16:15:57 +0800 2015,2
36,3827222924148526,3827160647398914,资深职业规划师Hugo,,其实就是类似中欧，长江商学院的翻版，只是换了名字而已，不过马老板的最终目的不是办大学，而是建立一个氛围很好的智囊团。,"<a href=""http://weibo.com/"" rel=""nofollow"">助人Hugo-iPhone 6 Plus</a>",Thu Apr 02 16:48:34 +0800 2015,2
37,3827254247667801,3827254091703924,吴嘉豪12,,我也是[泪],"<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>",Thu Apr 02 18:53:02 +0800 2015,3
38,3827254301624760,3827254091703924,猪头的爱情_92491,,我上学的时候都不写[可爱],"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 18:53:15 +0800 2015,3
39,3827254369036986,3827254091703924,天使的心1899,,抄,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 18:53:31 +0800 2015,3
40,3827254432106567,3827254091703924,好菇凉走到哪里都会散发出阳光,,写呗！我的作业也没有写没,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 18:53:46 +0800 2015,3
41,3827254494387510,3827254091703924,梦比现实心半凉,,那就加油写啊,"<a href=""http://app.weibo.com/t/feed/22zMnn"" rel=""nofollow"">小米手机</a>",Thu Apr 02 18:54:01 +0800 2015,3
42,3827254499170263,3827254091703924,一生所艾201503,,凉拌,"<a href=""http://app.weibo.com/t/feed/5Vn5w4"" rel=""nofollow"">红米Note</a>",Thu Apr 02 18:54:02 +0800 2015,2
43,3827254717564468,3827254091703924,佐萌萱,,什么节奏，[吃惊],"<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>",Thu Apr 02 18:54:54 +0800 2015,3
44,3827254746685982,3827254091703924,阳光与千千结,,呵呵，不怎么办，好孩子也可以淘一回,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 18:55:00 +0800 2015,3
45,3827254755081099,3827254091703924,凱馨Eleanor-my-lover,,接着写，我一会儿也要写作业！,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 18:55:02 +0800 2015,3
46,3827254868064992,3827254091703924,佐萌萱,,请问你叫啥名字[哈哈],"<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>",Thu Apr 02 18:55:30 +0800 2015,3
47,3827254905846984,3827254091703924,Beauty独家微整形精油,,[doge][doge] ? ? ? ? ? ❤ ❤ ❤ ❤ ❤,"<a href=""http://app.weibo.com/t/feed/4Vdgl4"" rel=""nofollow"">小米手机4</a>",Thu Apr 02 18:55:39 +0800 2015,3
48,3827255329559794,3827254091703924,佐萌萱,,[晕][晕][晕],"<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>",Thu Apr 02 18:57:19 +0800 2015,3
49,3827255429790318,3827254091703924,妩媚小师傅,,让老师帮你写,"<a href=""http://app.weibo.com/t/feed/3Q8yH0"" rel=""nofollow"">华为Ascend P6</a>",Thu Apr 02 18:57:44 +0800 2015,3
50,3827256792784258,3827256617065240,有一种梦想叫源嫂,,呵呵,"<a href=""http://weibo.com/"" rel=""nofollow"">小米</a>",Thu Apr 02 19:03:09 +0800 2015,2
51,3827256792978043,3827254091703924,xzp95282,,真的很喜欢自拍啊你,"<a href=""http://weibo.com/"" rel=""nofollow"">iPhone 6 Plus</a>",Thu Apr 02 19:03:09 +0800 2015,3
52,3827256898483839,3827256617065240,蓝海评论指标室,,[怒骂]讨厌你玩音乐。,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:03:33 +0800 2015,3
53,3827256910427729,3827256617065240,detrtr,,我和你的情况一模一样[泪][泪],"<a href=""http://app.weibo.com/t/feed/5gA59F"" rel=""nofollow"">小米手机3</a>",Thu Apr 02 19:03:36 +0800 2015,3
54,3827257049262773,3827256617065240,小小小小茹i,,树洞哥，自己感兴趣的就要去追求，别人拦不住你的,"<a href=""http://app.weibo.com/t/feed/4BB1vC"" rel=""nofollow"">小米手机2A</a>",Thu Apr 02 19:04:09 +0800 2015,1
55,3827257074539814,3827256617065240,睡醒了一切回到原点,,来个证明给你爸妈看她们会同意的,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:04:15 +0800 2015,3
56,3827257124912937,3827256617065240,胡挪卜小七,,被迫学不喜欢乐器想放弃却说花了太多钱不让停的路过,"<a href=""http://app.weibo.com/t/feed/15mWgo"" rel=""nofollow"">新浪微博4G版</a>",Thu Apr 02 19:04:27 +0800 2015,2
57,3827257141706045,3827256617065240,reallylove容容的mafan蜗蜗,,如果觉得吉他能够学到能靠它生活甚至能实现梦想的话，那就试试吧。没有这样的决心还是放弃吧。,"<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>",Thu Apr 02 19:04:32 +0800 2015,1
58,3827257158498676,3827256617065240,野人1208,,我就想问问怎么发信息。。私信树洞，为毛我的信息还没有发表,"<a href=""http://app.weibo.com/t/feed/6TpDdV"" rel=""nofollow"">OPPO Finder</a>",Thu Apr 02 19:04:36 +0800 2015,3
59,3827257178689992,3827256617065240,不念不执着,,偷着学[耶],"<a href=""http://app.weibo.com/t/feed/99GpJ"" rel=""nofollow"">华为Ascend Mate7</a>",Thu Apr 02 19:04:41 +0800 2015,3
60,3827257497480973,3827256617065240,不念不执着,,你的路最终是你的，旁人帮不了什么，只有自己帮自己,"<a href=""http://app.weibo.com/t/feed/99GpJ"" rel=""nofollow"">华为Ascend Mate7</a>",Thu Apr 02 19:05:56 +0800 2015,3
61,3827257980442842,3827256617065240,腾跃集团V许先生,,学习也要劳逸结合嘛，何况如果是自己爱好的可以坚持让她同意嘛，我觉得弹吉他没什么不好，能使心情变得平静，愉悦！,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:07:51 +0800 2015,2
62,3827257980514344,3827257874997751,大帅哥默默的守护神1,,为什么,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:07:51 +0800 2015,3
63,3827258047173465,3827256617065240,用户5469569690,,母命難為，但還是要堅持自己的夢想,"<a href=""http://app.weibo.com/t/feed/63af84"" rel=""nofollow"">vivo智能手机</a>",Thu Apr 02 19:08:08 +0800 2015,3
64,3827258269909646,3827257874997751,蓝海评论指标室,,[泪]流泪满面。,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:09:00 +0800 2015,3
65,3827258315630305,3827256617065240,其实烟花再美也不过是瞬间而已,,她唠叨你是爱子心切，为了你好，多理解理解妈妈,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:09:12 +0800 2015,2
66,3827258395853728,3827257874997751,王焕的家,,怎么这样呀,"<a href=""http://app.weibo.com/t/feed/503Oti"" rel=""nofollow"">魅族 MX4</a>",Thu Apr 02 19:09:31 +0800 2015,3
67,3827258412321725,3827256617065240,王俊凯凯凯小凯,,"对,我也是!","<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:09:35 +0800 2015,2
68,3827258467217771,3827256617065240,汪小油菜2015,,真是可怜的娃，你要是我的孩子，绝对让你去学，因为我很想让女儿去学些东西，可是他不肯[汗],"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:09:48 +0800 2015,3
69,3827258881708869,3827257874997751,克莱尔米姐,,和我一样呀，，，加油！！！,"<a href=""http://app.weibo.com/t/feed/fkoop"" rel=""nofollow"">红米4G</a>",Thu Apr 02 19:11:27 +0800 2015,3
70,3827258903284261,3827256617065240,嘟嘟噜luck,,现在努力，以后不后悔就好。。。。做自己觉得对的就行了,"<a href=""http://app.weibo.com/t/feed/5gA59F"" rel=""nofollow"">小米手机3</a>",Thu Apr 02 19:11:32 +0800 2015,2
71,3827259159041466,3827257874997751,胆小鬼_1655,,感情强求不得是看缘分的,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:12:32 +0800 2015,2
72,3827259221670288,3827256617065240,黑猫的眼睛2015,,做自己想做的！,"<a href=""http://app.weibo.com/t/feed/1J95c3"" rel=""nofollow"">红米手机</a>",Thu Apr 02 19:12:48 +0800 2015,3
73,3827259381593091,3827256617065240,sxl882015,,坚持自己想做的。,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 19:13:26 +0800 2015,3
74,3827259502710883,3827257874997751,JOY家硕,,干嘛这么多愁善感的、,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 19:13:55 +0800 2015,3
75,3827259695865986,3827254091703924,王俊凯凯凯小凯,,就这么办。,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:14:41 +0800 2015,2
76,3827259784067025,3827254091703924,我终孤,,我帮你写,"<a href=""http://app.weibo.com/t/feed/5RqS5c"" rel=""nofollow"">魅蓝手机</a>",Thu Apr 02 19:15:02 +0800 2015,3
77,3827260400629143,3827257874997751,赵馨蕊via,,"突然感觉平行线也是好的,至少可以一直平行的走下去，相交线在相交之后却朝不同的方向越走越远","<a href=""http://app.weibo.com/t/feed/2Do2XW"" rel=""nofollow"">联想智能手机客户端</a>",Thu Apr 02 19:17:29 +0800 2015,3
78,3827260484278248,3827256617065240,钟健朋友,,你怎么那么多时间玩微博,"<a href=""http://app.weibo.com/t/feed/5RqS5c"" rel=""nofollow"">魅蓝手机</a>",Thu Apr 02 19:17:49 +0800 2015,3
79,3827260505574541,3827260395707436,带泪的猫猫,,啥秘密 ,"<a href=""http://app.weibo.com/t/feed/e0WUS"" rel=""nofollow"">微博桌面</a>",Thu Apr 02 19:17:54 +0800 2015,3
80,3827260555645834,3827260395707436,蓝海评论指标室,,[怒骂]你他妈的。,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:18:06 +0800 2015,3
81,3827261017148814,3827260395707436,北风721,,什么秘密,"<a href=""http://app.weibo.com/t/feed/e0WUS"" rel=""nofollow"">微博桌面</a>",Thu Apr 02 19:19:54 +0800 2015,3
82,3827261038182660,3827260395707436,摇曳红灯区的暧昧与纠缠2002,,傻逼吗,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:20:01 +0800 2015,2
83,3827261164123552,3827261046578526,哥哥在岸上走r,,托妞呢？,"<a href=""http://app.weibo.com/t/feed/3G5oUM"" rel=""nofollow"">iPhone 5s</a>",Thu Apr 02 19:20:31 +0800 2015,2
84,3827261168017318,3827257874997751,黑黑是谁你猜呀,,我也,"<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>",Thu Apr 02 19:20:32 +0800 2015,2
85,3827261213860984,3827260395707436,杨米米有个一路向北的梦,,混蛋!,"<a href=""http://weibo.com/"" rel=""nofollow"">小米</a>",Thu Apr 02 19:20:43 +0800 2015,1
86,3827261302389503,3827261046578526,矢臾凉,,我是来看有没有T9的,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 19:21:04 +0800 2015,3
87,3827261389835068,3827254091703924,孤单的我596,,我帮你写,"<a href=""http://app.weibo.com/t/feed/fkoop"" rel=""nofollow"">红米4G</a>",Thu Apr 02 19:21:25 +0800 2015,3
88,3827261390035373,3827254091703924,杨米米有个一路向北的梦,,作业没写完还有心情有时间来这里发微博也是醉了，,"<a href=""http://weibo.com/"" rel=""nofollow"">小米</a>",Thu Apr 02 19:21:25 +0800 2015,1
89,3827261474193462,3827261046578526,童太怕挖掘纤,,费迪南 欧版球衣 关注@GEEK球衣2号,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:21:45 +0800 2015,2
90,3827261486311305,3827256617065240,王小妞玫瑰谷jess,,要努力，父母都是为了你好,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:21:47 +0800 2015,3
91,3827261562658524,3827260395707436,蝴蝶流星梦,,额。。。。。。,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:22:06 +0800 2015,2
92,3827261566855430,3827256617065240,dasd_7064,,青春连自己想做事事都不能吗？你做不到吗？,"<a href=""http://app.weibo.com/t/feed/14amah"" rel=""nofollow"">HTC</a>",Thu Apr 02 19:22:07 +0800 2015,3
93,3827261621131777,3827261046578526,铁尺金不换诚实可靠小郎君,,以弟媳跟伊布的能力打包4500还叫高价？[怒骂][怒骂],"<a href=""http://app.weibo.com/t/feed/fkoop"" rel=""nofollow"">红米4G</a>",Thu Apr 02 19:22:20 +0800 2015,1
94,3827261670875294,3827261046578526,滨州青年甘阔,,那个伟大的右后卫托雷斯呢？小编怎么搞得？还想不想干了？[挖鼻屎],"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:22:32 +0800 2015,1
95,3827261810073906,3827261046578526,张崇自然,,回复@铁尺金不换诚实可靠小郎君:打包是7000吧,"<a href=""http://weibo.com/"" rel=""nofollow"">iPhone</a>",Thu Apr 02 19:23:05 +0800 2015,2
96,3827261838660516,3827261658492222,妩媚小师傅,,没事挺住,"<a href=""http://app.weibo.com/t/feed/3Q8yH0"" rel=""nofollow"">华为Ascend P6</a>",Thu Apr 02 19:23:12 +0800 2015,3
97,3827261864343592,3827256617065240,夏天的雪天王99,,应该让你家长看看文艺节目一类的节目  满足自己才会有好成绩  争取得到同意吧,"<a href=""http://app.weibo.com/t/feed/13mmrA"" rel=""nofollow"">OPPO智能手机</a>",Thu Apr 02 19:23:18 +0800 2015,3
98,3827261965132508,3827261658492222,阿木木oooo,,加油加油,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",Thu Apr 02 19:23:41 +0800 2015,3
99,3827262015213480,3827261046578526,一头雾水ing,,乍一看- -弟媳有一点像艾尔克森啊,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:23:54 +0800 2015,2
100,3827262019413158,3827261658492222,蓝海评论指标室,,没事挺着,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:23:55 +0800 2015,3
101,3827262086144134,3827261658492222,wangyuanyitfbooys,,[给力],"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:24:11 +0800 2015,3
102,3827262115973884,3827261658492222,香亦环妃,,加油，总会好的！,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:24:18 +0800 2015,3
103,3827262136681389,3827261658492222,妩媚小师傅,,好,"<a href=""http://app.weibo.com/t/feed/3Q8yH0"" rel=""nofollow"">华为Ascend P6</a>",Thu Apr 02 19:24:23 +0800 2015,3
104,3827262233548561,3827261046578526,周看穿,,拉莫斯2700也算挺高吧,"<a href=""http://weibo.com/"" rel=""nofollow"">iPhone 6</a>",Thu Apr 02 19:24:46 +0800 2015,3
105,3827262258440759,3827261658492222,爱因你而已,,一定要加油，你爸妈为你，为了你以后照顾你爸妈，必需要完成学业，加油。,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:24:52 +0800 2015,3
106,3827262309108513,3827261658492222,米苏_67899,,地主[怒],"<a href=""http://app.weibo.com/t/feed/158TxN"" rel=""nofollow"">荣耀3X畅玩版</a>",Thu Apr 02 19:25:03 +0800 2015,3
107,3827262325903687,3827260395707436,野人1208,,我也是,"<a href=""http://app.weibo.com/t/feed/6TpDdV"" rel=""nofollow"">OPPO Finder</a>",Thu Apr 02 19:25:08 +0800 2015,3
108,3827262359487738,3827261658492222,风雨中成长20863,,加油,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android客户端</a>",Thu Apr 02 19:25:16 +0800 2015,3
109,3827262460234975,3827261046578526,波尔蒂的猪总,,我还以为有托妞呢[抠鼻屎][抠鼻屎][抠鼻屎],"<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>",Thu Apr 02 19:25:40 +0800 2015,2
110,3827262493815606,3827261046578526,何庆Nico,,马基尼奥斯呢,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",Thu Apr 02 19:25:48 +0800 2015,1
111,3827262506115810,3827261046578526,老幼病残孕专座,,阿尔维斯一定是受不了塞维利亚这一身巨丑的球衣才转会的,"<a href=""http://app.weibo.com/t/feed/1KbPpV"" rel=""nofollow"">WeicoiPad</a>",Thu Apr 02 19:25:50 +0800 2015,1
112,3827262623688380,3827256617065240,老胡是个好青年呀嘿,,。。。我父母不想让我弹电琴。。。我背着他们买了把电贝斯。。。练好了，上台后，他们觉得很自豪，默认了我的爱好。。。只要你有那个魄力和信心，作出选择后能够不让自己和父母失望，就顺应本心。,"<a href=""http://app.weibo.com/t/feed/3b7vIC"" rel=""nofollow"">酷派大神</a>",Thu Apr 02 19:26:19 +0800 2015,3
113,3827262791318518,3827261658492222,谁的小涵1999,,加油,"<a href=""http://app.weibo.com/t/feed/6GvCqn"" rel=""nofollow"">纤薄王者X5Max</a>",Thu Apr 02 19:26:59 +0800 2015,3
114,3827262795239801,3827261658492222,大白119,,回复@妩媚小师傅003:过的太不容易了,"<a href=""http://app.weibo.com/t/feed/5Vn5w4"" rel=""nofollow"">红米Note</a>",Thu Apr 02 19:27:00 +0800 2015,2
115,3827262812339444,3827261046578526,铁尺金不换诚实可靠小郎君,,回复@张崇自然:[doge]记错了 4500是弟媳一个人吗,"<a href=""http://app.weibo.com/t/feed/fkoop"" rel=""nofollow"">红米4G</a>",Thu Apr 02 19:27:04 +0800 2015,1
116,3827262887606125,3827261046578526,张崇自然,,回复@铁尺金不换诚实可靠小郎君:对[奥特曼],"<a href=""http://weibo.com/"" rel=""nofollow"">iPhone</a>",Thu Apr 02 19:27:22 +0800 2015,2
117,3827262921484542,3827261658492222,翡瑜瑜,,认真学习！努力赚钱！,"<a href=""http://app.weibo.com/t/feed/5yiHuw"" rel=""nofollow"">iPhone 6 Plus</a>",Thu Apr 02 19:27:30 +0800 2015,3
118,3827262963467443,3827261658492222,妩媚小师傅,,哈,"<a href=""http://app.weibo.com/t/feed/3Q8yH0"" rel=""nofollow"">华为Ascend P6</a>",Thu Apr 02 19:27:40 +0800 2015,3
