sid,userid,retweetOfId,text,source,reposts_count,comments_count,attitude_count,bmiddle_pic,credibility,UC
3790674568275150,1691761292,NULL,读书，电影，音乐，美食，美景，旅行…但只要你多一个玩电脑游戏这样的爱好，就不会堕落为文艺青年。,"<a href=""http://weibo.com/"" rel=""nofollow"">刮开▓▓中iPhone 6 Plus</a>",299,197,774,NULL,2,0
3790675177125700,1687445053,NULL,这个挺好[赞] ,"<a href=""http://app.weibo.com/t/feed/4OaSXy"" rel=""nofollow"">互联网分析沙龙</a>",5,2,7,http://ww1.sinaimg.cn/bmiddle/64945e3djw1eniq53yf3kj20c8hqg7wi.jpg,2,0
3790676736713080,2134671703,NULL,当年美国大法官霍姆兹（Holmes)说：「修曼法案（The Sherman Act ) 是不公平的，因为它不让强者在比赛中获胜。」李敖一生，都不幸在中国印证了这句话。中国是一个让坏人比赛的地方，出头的好人极少。好人声明他在跟好人比赛，没跟坏人比赛，可是坏人不信。坏人眼里没有好人、只有敌人，就是你。,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",36,30,82,NULL,2,0
3790676930533770,1221467181,NULL,【视频：那些年被马布里踢（肘）过的球员们】我觉得我不转就对不起看了这么多年的球！这种败类也能让他被称为英雄！每次踢人后还是被踢者犯规！所有球员都应该罢赛！抵制打球脏的人，今天不抵制，明天就等着职业生涯被一脚踹毁吧！@中国篮球 @虎扑篮球 @易建联 @王哲林Change http://t.cn/RzdTloi ,"<a href=""http://app.weibo.com/t/feed/4kiQYH"" rel=""nofollow"">优酷土豆</a>",0,0,0,NULL,1,2
3790677487741620,1750199512,NULL,【MySQL入门基础实战篇学习讲解】http://t.cn/Rzedv9U,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",0,0,0,http://ww1.sinaimg.cn/bmiddle/6851ecd8gw1enig33xpzxj20dc07i0sx.jpg,2,0
3790680939793720,1749990115,NULL,#令计划接受组织调查#【全国政协副主席、中央统战部部长令计划被调查】中国人民政治协商会议第十二届全国委员会副主席、中共中央统战部部长令计划涉嫌严重违纪，目前正接受组织调查。（新华社发布）,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",45,5,16,http://ww4.sinaimg.cn/bmiddle/684ebae3jw1eniqsqjqdnj207g09hglo.jpg,2,0
3790685037136150,1763362173,NULL,6个消费者心理学，玩转市场营销，值得收藏！,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",7,0,5,http://ww1.sinaimg.cn/bmiddle/691ac57djw1enicvcocldj20c82ggh0v.jpg,2,0
3790685037136190,1750199512,NULL,【2014年业界最难忘经典时刻回顾】http://t.cn/RzeeYuH,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",0,0,0,http://ww1.sinaimg.cn/bmiddle/6851ecd8gw1enig3ys1jdj20go0cijs9.jpg,2,0
3790685037576160,1043325954,NULL,【问地球30人 | 渴望建筑消失的建筑师隈研吾想跟农村小城的人说，请对自己所生存的地方保持自信】比起扬扬得意、高高在上的「正建筑」，他更推崇俯于地面、隐于周遭的「负建筑」。他尝试着以无秩序的设计来消解建筑的存在感，使之成为「自然的建筑」。全文：http://t.cn/RzeMZIW,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",3,2,3,NULL,2,0
3790685091669980,5173399462,NULL,余光扫了一眼，感叹说新浪怎么这么开放了[吃惊]...结果再仔细一看....我还是面壁去了....[拜拜],"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",22,14,9,w,1,0
3790685934817000,1890124614,3790646902946790,招商证券最近发布了一份有关当当网的报告，从业务、业绩、发展前景等多个角度进行了综合分析，并给出了12.9美元的目标价。该关注下被低估的黑马了。,"<a href=""http://app.weibo.com/t/feed/qsbvs"" rel=""nofollow"">手机微博触屏版</a>",2,4,1,NULL,1,0
3790686296054600,1774800467,NULL,【虚拟货币格局已定，山寨币未来前途未卜】现在的比特币社区十分混乱，紧张、戏剧性的局面不断发生，充满竞争的计划似乎想要撕裂这片天下。即使是那些曾把比特币当做骗人的万灵油的大银行，现在也重新看待它，将区块链技术当做是一项重大突破。http://t.cn/RzeA34x,"<a href=""http://app.weibo.com/t/feed/BbsPZ"" rel=""nofollow"">投资界</a>",1,1,1,http://ww2.sinaimg.cn/bmiddle/69c94e53jw1enirf36h75j20b405k3z6.jpg,2,0
3790686585008360,2789168643,3790680939793720,补刀//@北京青年报: 令政策曾谈起其弟令计划：令计划为党和国家事业尽心尽力、踏实工作，是名优秀干部。6月19日令政策因涉嫌严重违纪违法接受组织调查。12月15日令计划还曾在《求是》刊文，文章至少16次引习近平讲话。 http://t.cn/Rzee9U1,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",11,3,9,NULL,2,0
3790687995047900,1193725273,NULL,【熊市赚的钱，全赔牛市了】冬至节气本该吃饺子，不过投资者却戏称今日只能“关灯吃面”。今日沪指创出59个月的新高，逼近3200点，但盘中2000多只个股下跌。满仓踏空的投资者戏称，“在熊市中赚的钱，却在牛市中全部亏了出去”。http://t.cn/RzemJe0,"<a href=""http://app.weibo.com/t/feed/v9DU3"" rel=""nofollow"">iceo.com.cn</a>",2,0,5,http://ww2.sinaimg.cn/bmiddle/4726cd59jw1enirm3xhk3j207g05i3yj.jpg,2,0
3790688787549160,1082896707,NULL,揭秘令氏家族的圈子:背后帝国庞大 http://t.cn/RzeDmWZ,"<a href=""http://app.weibo.com/t/feed/4CAL6v"" rel=""nofollow"">iOS</a>",399,111,34,NULL,1,1
3790692033727640,2661486115,NULL,西山会：令氏家族的朋友圈...http://t.cn/RzekEim,"<a href=""http://app.weibo.com/t/feed/5Hyp8W"" rel=""nofollow"">FaWave</a>",68,11,6,http://ww2.sinaimg.cn/bmiddle/9ea30e23jw1enis2szllej20go0eutbt.jpg,1,1
3790692587181960,1750199512,NULL,【Java开发者值得关注的7款新工具】http://t.cn/RzekDwb,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",4,0,3,http://ww1.sinaimg.cn/bmiddle/6851ecd8gw1enig4z9pe4j20rs0ee412.jpg,2,0
3790692608157980,1642634100,NULL,【迅雷宣布2000万美元股票回购计划】迅雷今日宣布，公司董事会已批准一项2000万美元的股票回购计划。该计划将在未来12个月内执行，迅雷将利用手中的现金资助该股票回购计划。截至2014年9月30日，公司拥有现金、现金等价物和短期投资约4.33亿美元。http://t.cn/RzekXh3,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",14,11,12,http://ww1.sinaimg.cn/bmiddle/61e89b74jw1enis55jgn1j20dw09caa7.jpg,2,0
3790693124121470,1940798632,NULL,永远不要怪别人不帮你，也永远别怪他人不关心你。活在世上，我们都是独立的个体，痛苦难受都得自己承受。没人能真正理解你，正如没人能切身体会你，石头没砸在他脚上，他永远体会不到有多疼。人生路上，我们都是孤独的行者，真正能帮你的，永远只有你自己。#微电影山那边#,"<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>",104,9,36,http://ww1.sinaimg.cn/bmiddle/73ae3ca8jw1enis7aknm0j20bg0gljt1.jpg,1,1
3790694407477090,1926909715,NULL,【发改委再批两千亿城轨项目】发改委今日发布消息称，近期再批复2项城市铁路规划，包括合肥市城市轨道交通和浙江省都市圈城际铁路规划。值得一提的是，10月以来，发改委已分九个批次批复项目达40余个，主要包括铁路、公路、机场的新建和扩建，总投资额超过13000亿元。http://t.cn/RzeFXcg,"<a href=""http://app.weibo.com/t/feed/6ghA0p"" rel=""nofollow"">搜狗高速浏览器</a>",15,5,7,http://ww2.sinaimg.cn/bmiddle/72da4f13gw1enisa0x872j20dw0eodj1.jpg,2,0
3790695602808800,1926909715,NULL,【酷派联手360：要干掉小米华为? 】两家看上去关系并不大的企业近日走到一起，合资成立互联网公司。这一举动被外媒视为中国互联网上的一件大事，并称其产品有望成为下一个小米或者华为。对此，酷派副总裁李旺表示：“和360整合肯定不是为了第三而去，不然不用整合我们都可以。”http://t.cn/RzeFE8g,"<a href=""http://app.weibo.com/t/feed/6ghA0p"" rel=""nofollow"">搜狗高速浏览器</a>",8,9,10,http://ww1.sinaimg.cn/bmiddle/72da4f13gw1enisemwz6zj20dw0foq57.jpg,2,0
3790695665732720,1111681197,3790692033727640,→_→ //@小浪:#令计划接受组织调查#压箱底太久了，终于能见日。,"<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>",27,6,3,NULL,1,1
3790696751931470,1182389073,3790688787549160,谁给了他们机会与权力？,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone客户端</a>",112,89,65,NULL,2,0
3790697490421070,1909380872,NULL,责任是男人的脊梁，是男人顶天立地的支柱。说到的事就要做到，揽下来的事就要扛住，做错的事就要承担后果。看一个男人是否成熟，不是看他的年龄有多大，而是要看他能担起多大的责任。越是优秀的男人，承担的责任越大，负责任的范围也越广。即使做不了伟大的男人，也要做一个负责任的男人。——陈道明,"<a href=""http://app.weibo.com/t/feed/1tqBja"" rel=""nofollow"">360安全浏览器</a>",8,0,5,http://ww3.sinaimg.cn/bmiddle/71ced708gw1enispcfmjnj209s0ep3yn.jpg,1,0
3790697817417010,1638782947,NULL,"【猪都上天了，养猪的在干啥？】人类已无法阻挡互联网向传统行业渗透的脚步！就连养猪大王、新希望集团董事长@刘永好 在对话#财经面对面#时也高喊，“猪都能上天，传统养殖业必须转型”。刘永好称，新希望正在通过”云牧场“建立电商粉丝新经济, 更多养猪大王触电转型记，尽在专题http://t.cn/RzeAKx2","<a href=""http://app.weibo.com/t/feed/2neWVQ"" rel=""nofollow"">新浪财经</a>",0,0,0,http://ww3.sinaimg.cn/bmiddle/61add7e3jw1enisqq64r5j20a005mgm1.jpg,2,0
3790698186764940,1111681197,3790685091669980,臭流氓，这谁干的。。。//@灰寰: 老板：这tips谁做的下班出来我们谈谈人生,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",13,4,4,NULL,1,1
3790699239203370,1111681197,3790647141657490,//@周天: 额 //@财经网:【微博动态·大企业~】小编看了一下截至目前的6000多转发者，嗯，声明说得很清楚，方正集团员工总数近4万名。,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",5,1,1,NULL,1,1
3790699478308860,1111681197,NULL,居然是特么素馅饺子……[挖鼻屎][挖鼻屎][挖鼻屎],"<a href=""http://app.weibo.com/t/feed/3o33sO"" rel=""nofollow"">iPhone 6</a>",2,13,9,http://ww1.sinaimg.cn/bmiddle/4242e8adjw1enisxkz0bcj20hs0hstce.jpg,1,1
3790699977698680,1663151443,NULL,忘记年龄，忘记名利，忘记怨恨，忘记烦恼。忘记年龄，不要让自己的年龄成为自己变老的理由，不管我们多老，只要有一个好的心理，只要我们自己不觉得老，别人怎么看是他们的事。走自己的路，让别人去说吧。@汽车家居梦,"<a href=""http://app.weibo.com/t/feed/OChwC"" rel=""nofollow"">云中小鸟</a>",0,0,6,http://ww3.sinaimg.cn/bmiddle/6321ad53jw1eniszn77bkj20l60gmgmi.jpg,1,1
3790700136634590,1962310741,NULL,某天起，好像跟你没那么好了，见面少了，电话也少了；孤单的时候，忍住没找你。我亲爱的朋友，并不是你做了什么，而是我故事变复杂了，有些话不知道从何说起，不如不说；有些秘密只能藏在心底，独自承担。不想对你说谎，更害怕你痛心的责备，于是只好假装忘了你。其实，你一直在我心里。转 @摄影师lomo,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",296,15,226,http://ww4.sinaimg.cn/bmiddle/74f67c55jw1eniauojviyj20j60csjvr.jpg,2,0
3790700136635800,1043325954,NULL,【英国著名同志CP结婚了，婚礼明星云集】英国著名歌手埃尔顿•约翰与他的男友在上周日举行了婚礼，婚礼上明星云集，小贝携全家出席。今年三月，英国同性恋婚姻合法化，经过9年爱情长跑，两人正式结为夫妇。,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",8,7,16,http://ww2.sinaimg.cn/bmiddle/3e2fe402gw1enimmr1rp7j20m84jw7wh.jpg,2,0
3790702321896230,1756434105,NULL,"来自瑞典房仲公司Wrede刊登的83平米简约风公寓，以淡色系家具为主要基础,对于喜爱阅读的你来说，这可能就是一个最让人惬意的地方~","<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",13,2,20,http://ww2.sinaimg.cn/bmiddle/6f9303b5jw1enf1c9lxo4j20c80700up.jpg,2,0
3790702888415660,1687445053,NULL,教你学电商—商品篇 - 萝卜网 - 最具实战价值的在线教育平台 http://t.cn/RzDvEDI ,"<a href=""http://app.weibo.com/t/feed/2afzVX"" rel=""nofollow"">百度分享</a>",0,0,0,NULL,2,0
3790703131720840,1627825392,NULL,什么是大数据，什么是红海、蓝海、互联网思维？什么是O2O？什么是众筹？看完保证你秒懂！,"<a href=""http://weibo.com/"" rel=""nofollow"">微博 weibo.com</a>",20,6,12,http://ww4.sinaimg.cn/bmiddle/6106a4f0gw1enitblwy0pj20c7218qci.jpg,2,0
